YEAR,TEAM,4IN5-B2B GP,4IN5-B2B W%,4IN5-B2B AED,3IN4-B2B GP,3IN4-B2B W%,3IN4-B2B AED,B2B GP,B2B W%,B2B AED,3IN4 GP,3IN4 W%,3IN4 AED,1 DAY GP,1 DAY W%,1 DAY AED,2 DAYS GP,2 DAYS W%,2 DAYS AED,3+ DAYS GP,3+ DAYS W%,3+ DAYS AED
15-16,Chicago,1,0,-11.7,10,0.5,-4.4,6,0.333,-6.9,13,0.538,-6.2,35,0.486,-3.4,12,0.583,-0.9,5,0.8,2.3
15-16,Cleveland,1,1,-0.1,12,0.667,-2.1,6,0.333,1.1,11,0.818,5.6,33,0.758,6.4,14,0.571,3.4,5,0.8,16
15-16,Dallas,1,1,16.2,11,0.545,2.9,5,0.6,-0.3,11,0.545,2.7,38,0.526,3.3,13,0.385,0.8,3,0.333,2.1
15-16,Denver,2,0,-7,9,0.444,0.9,5,0.2,3.4,10,0.3,-3,39,0.436,2.8,15,0.467,6,2,0.5,14.1
15-16,Detroit,0,0,0,11,0.545,0.2,9,0.667,4.5,14,0.5,-4.9,29,0.586,4.1,14,0.429,-1.1,5,0.4,-3.6
15-16,Golden State,0,0,0,11,0.909,-3.6,9,0.889,-7.7,15,0.867,-4.6,28,0.893,-0.5,15,0.933,-2.4,4,0.75,-11.2
15-16,Houston,0,0,0,14,0.357,-5.6,6,0.5,-1.5,10,0.6,2.7,34,0.559,-1.4,13,0.538,3.2,5,0.2,-11
15-16,Indiana,0,0,0,11,0.545,-1.6,6,0.167,-13.6,14,0.643,2.5,35,0.514,-0.9,13,0.692,10.5,3,0.667,4.4
15-16,LA Clippers,1,0,2.1,11,0.545,-7.8,8,0.75,0.9,14,0.643,-1.1,30,0.733,0.7,13,0.462,-6.8,5,0.8,6.7
15-16,LA Lakers,1,1,9.5,13,0,-8.2,4,0,-9,14,0.214,-2.9,36,0.222,-2.2,7,0.429,2.3,7,0.286,3.5
15-16,Memphis,0,0,0,10,0.6,6.5,8,0.375,5.8,11,0.364,-5.2,37,0.541,1.4,11,0.545,2.8,5,0.6,0.7
15-16,Miami,1,0,-11.8,11,0.364,-3.4,5,0.8,6.2,13,0.692,4.9,37,0.568,3.2,12,0.667,6.3,3,0.667,2.3
15-16,Milwaukee,1,1,20.1,12,0.417,3.1,7,0.286,-3.1,11,0.545,1.4,31,0.355,-2.7,16,0.375,-1.5,4,0.5,-0.5
15-16,Minnesota,2,0,-4.1,10,0.2,0.4,2,0,-15.3,10,0.3,0.4,44,0.409,3.2,11,0.455,2,3,0.333,-2.2
15-16,New Orleans,1,0,-19.6,9,0.333,5.9,7,0.143,4.4,12,0.417,7.1,36,0.389,3.7,12,0.417,10.2,5,0.4,4.8
15-16,New York,0,0,0,9,0.333,0.3,8,0.625,7.2,13,0.231,-3.5,37,0.432,-0.4,12,0.25,-5.7,3,0.667,3.3
15-16,Oklahoma City,1,0,-16.1,13,0.462,-7.5,2,0,-20.9,11,0.818,-0.4,38,0.763,-3.6,15,0.667,-5.5,2,0.5,-2.9
15-16,Orlando,1,1,-1.2,13,0.385,0.4,5,0,-14.5,13,0.308,-5.3,34,0.529,3,11,0.455,3.7,5,0.4,-1
15-16,Philadelphia,2,0,-4.9,14,0.071,0.8,3,0,3.4,12,0.083,1.7,34,0.176,2.2,12,0.167,4.1,5,0,-1.9
15-16,Phoenix,1,0,-19.5,10,0.3,4.9,3,0.333,-7.4,11,0.182,0.2,44,0.341,4.4,9,0.111,-9.7,4,0.25,0
15-16,Portland,2,0.5,-0.8,9,0.222,-5.3,8,0.375,0.9,14,0.5,-2.9,31,0.548,2.7,14,0.714,8,4,1,17
15-16,Sacramento,1,0,5.8,12,0.167,-6.1,6,0.333,-5.4,17,0.529,-0.7,32,0.469,0.6,7,0.143,-4.5,7,0.571,-1.2
15-16,San Antonio,0,0,0,11,0.818,-3.6,6,1,-6.1,13,0.769,-4.8,35,0.829,-0.2,13,0.846,-1.1,4,0.5,-5.6
15-16,Toronto,1,1,20.3,13,0.692,2.3,3,0.333,-5.2,12,0.667,0.2,40,0.675,1.5,7,0.714,1.9,6,0.833,3.5
15-16,Utah,1,1,3,10,0.6,-4,7,0.429,-2.1,11,0.636,-0.3,34,0.471,-1.3,16,0.438,-3.4,3,0,-17.2
15-16,Washington,1,0,2.3,12,0.5,-0.4,6,0.167,-6.5,13,0.615,1.5,31,0.452,1.3,12,0.583,3.2,6,0.833,5.5
14-15,Atlanta,3,0.667,0,12,0.667,-9.5,6,0.667,-4.8,15,0.733,1.4,27,0.778,-0.8,14,0.857,0,5,0.4,-2.1
14-15,Boston,2,0.5,7.1,14,0.786,7.7,2,0.5,2.4,13,0.615,5.7,38,0.342,2.6,6,0.333,9.2,7,0.571,7.6
14-15,Brooklyn,3,0.333,-4.4,12,0.417,-3.1,4,0,-15.6,13,0.385,-2.5,35,0.514,1.1,9,0.667,-0.2,6,0.5,-7.6
14-15,Charlotte,2,1,8.6,14,0.5,-0.8,6,0,-8,16,0.313,-1.1,28,0.429,-1.8,10,0.5,0.4,6,0.333,-1.7
14-15,Chicago,2,0,-8.8,9,0.333,-5.3,9,0.778,4.6,13,0.692,-0.1,31,0.613,5.1,13,0.769,10.1,5,0.4,6.2
14-15,Cleveland,3,0.667,3,10,0.6,1.7,7,0.429,0.5,14,0.571,1.2,30,0.6,-0.3,13,1,12.2,5,0.6,5.4
14-15,Dallas,1,1,5.3,9,0.444,-3.9,7,0.571,1.1,12,0.583,-2,34,0.676,2.6,16,0.625,-1.1,3,0.333,-6.6
14-15,Denver,4,0,-8.4,12,0.25,1.2,5,0.2,-2.1,13,0.462,1.9,31,0.484,3.2,12,0.167,-5.9,5,0.6,4.5
14-15,Detroit,4,0.5,-4.4,9,0.222,-1.9,9,0.222,2.7,15,0.267,2.7,28,0.429,8.3,10,0.7,10.8,7,0.429,2.9
14-15,Golden State,4,0.75,7,7,0.857,7,8,0.75,-0.8,14,0.571,-5,33,0.879,1.3,11,0.909,11.7,5,1,4.8
14-15,Houston,2,1,0.9,13,0.538,-5,5,0.6,-10.2,12,0.667,-6.5,35,0.714,-8.3,6,0.833,-5.1,9,0.667,-7
14-15,Indiana,1,0,-2.1,13,0.231,-4.9,4,0.5,5.4,10,0.5,5.1,37,0.514,2.2,13,0.385,-0.2,4,1,0.4
14-15,LA Clippers,3,0.667,0.5,10,0.9,-1.1,7,0.714,-5.4,16,0.625,-4.9,30,0.567,-4.3,11,0.818,5.8,5,0.8,-1.7
14-15,LA Lakers,1,0,-11.7,13,0.231,-3.2,2,0,-2.3,11,0.091,-9,40,0.325,-0.2,11,0.273,0.3,4,0.25,3.3
14-15,Memphis,1,0,-12.1,11,0.455,-4.4,8,0.75,-4.4,11,0.636,3.4,35,0.686,1.9,11,0.818,1.7,5,0.8,10.9
14-15,Miami,1,0,-6.4,10,0.4,-2.1,6,0.5,3.9,13,0.462,2.4,38,0.421,-0.4,9,0.556,3.6,5,0.6,9.3
14-15,Milwaukee,4,0.25,-4.8,11,0.455,-5.3,6,0.167,-1.6,13,0.538,0,31,0.613,1,11,0.455,0.5,6,0.5,5.5
14-15,Minnesota,2,0.5,4.7,12,0,-6.5,5,0.6,3.5,13,0.077,0,35,0.171,-3.8,8,0.25,1.1,7,0.429,6.8
14-15,New Orleans,2,0.5,11.1,11,0.545,-0.7,7,0.429,-1.5,13,0.692,6.8,31,0.581,2.4,13,0.462,3.7,5,0.4,-2.4
14-15,New York,3,0,-5.6,14,0.143,-6.9,4,0.25,-8.7,12,0.333,-1.2,33,0.152,-4.9,9,0.333,-6.9,7,0.286,-4.8
14-15,Oklahoma City,0,0,0,14,0.643,0.6,4,0.5,5.5,14,0.571,2.7,34,0.559,-0.7,12,0.5,-3,4,0.25,-3.7
14-15,Orlando,3,0.333,-0.2,11,0.273,2.1,3,0.667,-0.2,12,0.667,5.7,39,0.231,-0.9,8,0,-1.9,6,0.333,3.8
14-15,Philadelphia,2,0.5,5,13,0.308,9.4,6,0.167,6.4,14,0.143,4.8,31,0.323,9.3,10,0,0,6,0,-3.5
14-15,Phoenix,1,0,-14.6,11,0.364,-5.3,6,0.333,0.5,14,0.286,-4.7,34,0.559,-0.8,13,0.615,0.2,3,0.667,1.7
14-15,Portland,4,1,-0.2,13,0.462,-7.1,2,1,5.3,13,0.538,-8,34,0.618,-3.9,10,0.8,-2.3,6,0.5,-4.4
14-15,Sacramento,3,0,-6.9,9,0.667,-2.7,6,0.167,-6.4,13,0.231,-2.5,36,0.361,-0.4,10,0.4,-4.3,5,0.4,1.1
14-15,San Antonio,0,0,0,14,0.857,10.3,7,0.429,1.1,14,0.714,10.2,28,0.714,7.6,13,0.385,0.8,6,0.833,9.2
14-15,Toronto,3,0.667,-9.9,10,0.7,-4.5,6,0.333,-13.4,13,0.615,-6.3,35,0.543,-9.6,9,0.667,-7.2,6,0.833,3.9
14-15,Utah,2,0.5,-2.8,9,0.667,5.1,8,0.5,1.1,13,0.615,9.7,33,0.364,1.7,13,0.385,4.8,4,0.5,12.4
14-15,Washington,4,0.75,-3.1,9,0.444,-9.9,6,0.5,-12.6,11,0.636,-0.1,35,0.571,-1.6,12,0.583,-0.5,5,0.4,-9.1
13-14,Atlanta,5,0.4,-4.2,7,0.571,5.3,9,0.222,-8.4,13,0.462,-0.5,28,0.679,1.4,13,0.231,-8.2,7,0.286,-1.6
13-14,Boston,2,0.5,11.9,16,0.25,0.7,2,0,-1.4,15,0.333,-2.9,32,0.281,-1.1,8,0.5,-0.3,7,0.286,-2.9
13-14,Brooklyn,2,1,7.1,10,0.1,-5.8,8,0.375,4.3,9,0.556,0.7,34,0.706,1.1,13,0.462,-0.3,6,0.5,4.3
13-14,Charlotte,3,0.333,-4,12,0.25,-7.4,7,0.429,2,14,0.643,2.5,27,0.556,0.6,12,0.75,8,7,0.429,5.1
13-14,Chicago,2,0,-14.9,11,0.727,5.4,4,0.5,4.9,16,0.625,-0.9,32,0.594,0,10,0.5,-1.5,7,0.571,7.5
13-14,Cleveland,2,0.5,0,14,0.5,4,4,0.25,-1.8,10,0.5,3.5,34,0.235,-3.3,10,0.5,5.6,8,0.75,10.8
13-14,Dallas,2,1,-3.7,9,0.444,-1.2,5,0.8,2.6,10,0.7,1.7,39,0.564,0.7,12,0.583,-0.2,5,0.6,7.8
13-14,Denver,1,1,3,9,0.111,-4.7,4,0.25,-5.1,11,0.364,-2,43,0.581,1.4,8,0.5,2.3,6,0,-7.2
13-14,Detroit,3,0.333,-0.9,11,0.455,-1,6,0.167,-10,15,0.533,1.4,32,0.281,-0.7,8,0.375,7.7,7,0.286,-8.7
13-14,Golden State,1,1,0.9,9,0.444,-4.5,5,0.6,5.4,12,0.583,-1,45,0.689,2.1,3,0.667,-2.1,7,0.429,-5.6
13-14,Houston,3,0.667,-1.7,10,0.6,1.9,7,0.571,8.4,14,0.5,-3.9,29,0.655,1.1,14,0.857,1.1,5,0.8,4.9
13-14,Indiana,3,0.333,-8.9,9,0.556,-4.6,8,0.5,-4.1,13,0.692,-5.2,29,0.621,-1.8,14,0.929,-1.2,6,1,-2
13-14,LA Clippers,1,1,27.6,12,0.333,-3.5,4,0.5,3,11,0.909,2.9,36,0.778,2,14,0.714,-0.2,4,0.5,-11.9
13-14,LA Lakers,2,0.5,7.5,9,0.222,3.4,8,0.25,-0.6,16,0.438,0.7,32,0.281,-0.5,7,0.429,2.5,8,0.375,0.4
13-14,Memphis,3,1,7.2,9,0.778,3.3,6,0.5,3.2,12,0.75,3.6,33,0.424,-2.5,14,0.714,6.1,5,0.8,-1
13-14,Miami,3,0.333,-11.4,9,0.556,0.3,5,0.8,5.8,13,0.538,-4.5,34,0.706,0.3,13,0.692,-1.2,5,0.8,0
13-14,Milwaukee,4,0,0.8,10,0.2,-1.3,7,0,-2.7,12,0.25,1.6,29,0.138,-0.7,13,0.308,4.1,7,0.286,1.9
13-14,Minnesota,2,0,-7.9,9,0.222,-1.8,10,0.2,-7.2,15,0.533,-0.1,28,0.571,0.3,13,0.615,2.6,5,0.8,-1.6
13-14,New Orleans,2,0.5,8.3,13,0.231,1.4,4,0.25,4.1,11,0.455,-2.7,34,0.471,-0.5,13,0.385,0.2,5,0.6,-1.1
13-14,New York,4,0.25,-5,7,0.714,3.1,7,0.286,4.4,13,0.308,-4.3,35,0.486,1.2,10,0.3,-4.8,6,0.833,11.6
13-14,Oklahoma City,1,1,-2.2,9,0.556,-2.1,5,0.4,2.1,11,0.818,-1.3,39,0.821,1,14,0.571,-3.8,3,0.667,-9.1
13-14,Orlando,1,1,4,10,0.3,2.7,7,0.143,1.3,13,0.615,3.8,32,0.188,-1.9,13,0.154,-4.2,6,0.333,1.4
13-14,Philadelphia,0,0,0,14,0.071,-6,6,0.333,1.9,14,0.143,-0.3,33,0.303,0.6,7,0.143,-3,8,0.375,-1
13-14,Phoenix,2,0.5,8.2,9,0.333,-6,7,0.571,-0.8,16,0.75,3,30,0.7,0.1,13,0.308,-2.9,5,0.6,-1.4
13-14,Portland,3,0.333,5.4,12,0.667,5.3,4,0.75,3.4,13,0.846,1.8,33,0.606,-0.2,11,0.636,-8,6,0.667,-3.2
13-14,Sacramento,1,1,10.3,11,0.364,6.6,7,0.429,1.6,11,0.455,0.1,34,0.265,-1.3,13,0.231,-1.5,5,0.6,2.4
13-14,San Antonio,1,1,5,12,0.583,-3.6,6,1,6.3,13,0.769,-0.6,34,0.735,1.2,10,0.8,0.1,6,0.833,1.1
13-14,Toronto,1,1,12.8,12,0.5,-2.1,5,0.6,5.9,12,0.667,1.4,36,0.528,-1.1,9,0.667,-1.2,7,0.714,-1
13-14,Utah,1,0,-12.8,12,0.25,-5.9,8,0.375,6.9,14,0.214,-4.3,30,0.267,3.8,8,0.5,-0.1,9,0.444,0.9
13-14,Washington,3,0.667,0.5,10,0.5,-2.1,7,0.714,7.6,12,0.583,1.9,32,0.531,0.8,12,0.667,-0.2,6,0,-10.5
13-Dec,Atlanta,3,0.667,6.1,13,0.538,2.1,6,0.333,-4,15,0.533,-4.7,28,0.571,2.5,10,0.5,-2.3,7,0.571,-4.8
13-Dec,Boston,1,0,-17.5,13,0.462,5.9,7,0.714,5.7,10,0.9,6.1,29,0.345,-3.6,12,0.417,-8.3,9,0.667,2.3
13-Dec,Brooklyn,3,0.667,-1.3,12,0.5,-1.1,8,0.625,3.7,15,0.733,-0.3,26,0.538,-3.3,11,0.545,4.1,7,0.714,-1.7
13-Dec,Charlotte,3,0,-10.2,11,0.182,1.2,8,0.25,-1.5,13,0.308,-3.3,26,0.231,0.6,16,0.313,3.3,5,0.4,1.2
13-Dec,Chicago,2,1,10.3,11,0.455,-0.1,6,0.667,-0.5,10,0.5,0.8,31,0.613,2.1,19,0.368,-6,3,1,1.4
13-Dec,Cleveland,4,0.5,6.3,9,0,-0.6,9,0.222,4.7,14,0.214,-3.4,26,0.269,-0.8,13,0.462,-1.4,7,0.571,2.4
13-Dec,Dallas,1,1,19.4,11,0.455,3.3,4,0.25,-12.6,11,0.455,-2.6,39,0.564,1.9,11,0.455,-4.3,5,0.4,4.7
13-Dec,Denver,3,0.333,-0.5,7,0.286,3.3,7,0.857,4,11,0.727,-1.6,37,0.757,-0.4,12,0.667,-0.3,5,0.8,0.4
13-Dec,Detroit,3,0,-8.5,11,0.455,6.6,5,0.6,2,14,0.214,0.1,32,0.406,-1,11,0.364,-4.3,6,0.167,-0.8
13-Dec,Golden State,4,0.25,-5.9,13,0.615,6.5,3,0.333,-2.9,13,0.692,4.8,33,0.545,-1.3,8,0.5,-5.8,8,0.75,2.5
13-Dec,Houston,3,0,-17.1,12,0.417,0,6,0.167,-5.1,13,0.538,3.9,28,0.679,2.7,14,0.643,-1.6,6,0.667,-0.3
13-Dec,Indiana,3,0.667,-2.4,10,0.8,5,8,0.375,-6.3,12,0.833,2.2,24,0.458,-1.4,17,0.588,-2.9,5,0.8,-1.1
13-Dec,LA Clippers,4,0.75,7.5,13,0.615,0.1,4,0.75,2.8,12,0.5,-6.7,28,0.679,2.1,16,0.813,0.9,5,0.8,-8.6
13-Dec,LA Lakers,1,1,30.7,12,0.417,1.3,3,0,-4.5,13,0.538,2.4,35,0.629,-1.2,13,0.615,2.3,5,0.4,-7.3
13-Dec,Memphis,1,0,-4,11,0.727,1.9,6,0.5,-2.7,12,0.583,-5,35,0.743,2.9,11,0.909,0.7,6,0.333,-7.4
13-Dec,Miami,3,0.667,-9.6,8,1,-0.2,5,1,3.9,14,0.786,-4.2,37,0.73,0.9,10,0.8,-1.4,5,1,-3.1
13-Dec,Milwaukee,4,0.25,-9.6,6,0.333,-6,12,0.5,-0.1,11,0.182,-6.2,27,0.556,0.9,18,0.556,3.7,4,0.5,5.7
13-Dec,Minnesota,4,0.25,-2.6,11,0.455,3.4,7,0.286,4.7,17,0.471,1.1,27,0.296,-1.5,9,0.333,-0.1,7,0.571,0.1
13-Dec,New Orleans,2,0,-14.4,12,0.417,3.8,5,0.2,3.5,11,0.273,0.7,34,0.412,2.2,12,0.167,-3.2,6,0.333,-2.4
13-Dec,New York,3,0.333,-8.7,12,0.667,4.5,4,0.75,7.5,15,0.8,0.7,33,0.636,-1.9,8,0.625,0.3,7,0.571,-3.5
13-Dec,Oklahoma City,2,0.5,-6.1,11,0.636,1.9,2,1,11.2,11,0.727,-4.1,43,0.744,-0.2,8,1,-0.5,5,0.4,2.1
13-Dec,Orlando,1,0,-25.9,9,0.333,-0.4,3,0,-14.9,12,0.167,2.3,42,0.238,0.7,13,0.308,-0.1,2,0.5,-0.2
13-Dec,Philadelphia,2,0,-5.6,10,0.3,2.6,10,0.1,-7.2,13,0.538,4.3,25,0.44,-1,17,0.588,0,5,0.4,4.7
13-Dec,Phoenix,2,0.5,14,12,0.25,0.3,5,0.2,-6.2,13,0.308,1.2,35,0.257,-0.6,9,0.444,5.4,6,0.5,4.6
13-Dec,Portland,2,1,16.9,11,0.364,-2.9,4,0.25,-1.8,11,0.545,4.1,34,0.294,1.4,17,0.471,-2.4,3,0.667,-0.3
13-Dec,Sacramento,2,0,-10.8,12,0.417,5.4,3,0.667,3.1,13,0.385,-0.8,36,0.278,-1.3,10,0.4,2.7,6,0.333,0.6
13-Dec,San Antonio,3,0,-3.6,12,0.583,5.8,2,0.5,-14.9,14,0.929,-2.1,35,0.657,0.7,9,0.889,-1.3,7,0.857,0.6
13-Dec,Toronto,2,0,0.9,12,0.417,0.6,4,0.75,2.2,11,0.364,-3.2,36,0.472,0.5,11,0.273,-1.3,6,0.333,-1.6
13-Dec,Utah,0,0,0,13,0.462,0.1,4,0.5,-0.3,12,0.75,-3.8,37,0.378,0.5,10,0.7,5,6,0.833,-0.5
13-Dec,Washington,4,0.25,-6.9,9,0.333,5.5,8,0.25,1.7,12,0.417,-2.7,29,0.414,0.6,13,0.308,-0.8,7,0.286,-3.7
